kind,value,file,line
href,{{ href }},templates/admin_base.html,49
url_for,offline.sync_page,templates/offline_dashboard.html,88
action,{{ url_for(,templates/offline_dashboard.html,88
url_for,offline.snapshot_now,templates/offline_dashboard.html,96
action,{{ url_for(,templates/offline_dashboard.html,96
url_for,offline.turma_aulas,templates/offline_dashboard.html,154
href,{{ url_for(,templates/offline_dashboard.html,154
url_for,offline.status_page,templates/offline_dashboard.html,216
href,{{ url_for(,templates/offline_dashboard.html,216
url_for,offline.history_page,templates/offline_dashboard.html,217
href,{{ url_for(,templates/offline_dashboard.html,217
url_for,offline.settings_page,templates/offline_dashboard.html,218
href,{{ url_for(,templates/offline_dashboard.html,218
url_for,offline.dashboard,templates/offline_settings.html,5
href,{{ url_for(,templates/offline_settings.html,5
url_for,offline.aula_presencas,templates/offline_aulas.html,11
href,{{ url_for(,templates/offline_aulas.html,11
href,https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css,templates/base.html,8
href,/,templates/base.html,133
href,/calendario/semana,templates/base.html,136
href,/calendario/dia,templates/base.html,137
url_for,calendario_outras_datas,templates/base.html,138
href,{{ url_for(,templates/base.html,138
href,/turmas,templates/base.html,139
href,/admin,templates/base.html,142
href,/direcao-turma,templates/base.html,143
url_for,backups_trigger,templates/base.html,145
action,{{ url_for(,templates/base.html,145
src,https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js,templates/base.html,176
url_for,offline.dashboard,templates/offline_status.html,5
href,{{ url_for(,templates/offline_status.html,5
url_for,offline.history_page,templates/offline_status.html,18
href,{{ url_for(,templates/offline_status.html,18
url_for,offline.settings_page,templates/offline_status.html,19
href,{{ url_for(,templates/offline_status.html,19
url_for,offline.aula_sumario,templates/offline_presencas.html,32
action,{{ url_for(,templates/offline_presencas.html,32
url_for,dashboard,templates/dashboard.html,9
action,{{ url_for(,templates/dashboard.html,9
url_for,turma_calendario_dia,templates/dashboard.html,44
url_for,turma_calendario_dia,templates/dashboard.html,44
href,{{ url_for(,templates/dashboard.html,44
url_for,offline.sync_page,templates/dashboard.html,262
action,{{ url_for(,templates/dashboard.html,262
url_for,offline.snapshot_now,templates/dashboard.html,268
action,{{ url_for(,templates/dashboard.html,268
url_for,offline.dashboard,templates/dashboard.html,274
href,{{ url_for(,templates/dashboard.html,274
url_for,dashboard,templates/dashboard.html,291
action,{{ url_for(,templates/dashboard.html,291
url_for,dashboard,templates/dashboard.html,304
href,{{ url_for(,templates/dashboard.html,304
url_for,turmas_list,templates/dashboard.html,320
href,{{ url_for(,templates/dashboard.html,320
url_for,offline.turma_aulas,templates/offline_turmas.html,8
href,{{ url_for(,templates/offline_turmas.html,8
url_for,offline.dashboard,templates/offline_history.html,5
href,{{ url_for(,templates/offline_history.html,5
url_for,backups_download,templates/backups/list.html,136
