rule,methods,endpoint,blueprint,template_ref_count,js_ref_count,python_ref_count,has_redirect_in,classification,action
/,GET,dashboard,,4,0,20,0,OK_UI,manter
/admin,GET,admin_home,,1,1,2,0,OK_UI,manter
/admin/anos-letivos,GET,admin_anos_letivos,,0,0,2,0,INTERNAL,documentar_interno
/admin/calendario-diario,GET,admin_calendario_diario,,0,0,1,0,INTERNAL,documentar_interno
/admin/calendario-semanal,GET,admin_calendario_semanal,,0,0,1,0,INTERNAL,documentar_interno
/admin/direcao-turma,GET,admin_direcao_turma,,0,0,1,0,INTERNAL,documentar_interno
/admin/disciplinas-dt,GET,admin_disciplinas_dt,,0,0,1,0,INTERNAL,documentar_interno
/admin/offline,GET,admin_offline,,0,0,2,0,INTERNAL,documentar_interno
/admin/offline/snapshot,POST,admin_offline_snapshot,,1,0,1,0,OK_UI,manter
/admin/tipos-aula,GET,admin_tipos_aula,,0,0,1,0,INTERNAL,documentar_interno
/admin/turmas,GET,admin_turmas,,0,0,1,0,INTERNAL,documentar_interno
/anos-letivos,GET,anos_letivos_list,,6,0,8,0,OK_UI,manter
/anos-letivos/<int:ano_id>/abrir,POST,anos_letivos_abrir,,1,0,0,0,OK_UI,manter
/anos-letivos/<int:ano_id>/delete,POST,anos_letivos_delete,,1,0,0,0,OK_UI,manter
/anos-letivos/<int:ano_id>/edit,GET|POST,anos_letivos_edit,,2,0,1,0,OK_UI,manter
/anos-letivos/<int:ano_id>/fechar,POST,anos_letivos_fechar,,1,0,0,0,OK_UI,manter
/anos-letivos/<int:ano_id>/set-ativo,POST,anos_letivos_set_ativo,,2,0,0,0,OK_UI,manter
/anos-letivos/add,GET|POST,anos_letivos_add,,2,0,2,0,OK_UI,manter
/api/calendario-escolar.json,GET,calendario_escolar_json,,3,0,1,0,OK_UI,manter
/api/health/db,GET,api_health_db,,0,0,1,0,INTERNAL,documentar_interno
/api/sync/apply,POST,api_sync_apply,,0,0,1,0,INTERNAL,documentar_interno
/api/sync/status,GET,api_sync_status,,1,0,1,0,OK_UI,manter
/aulas/<int:aula_id>/aulas_alunos/import_tsv,POST,aulas_alunos_import_tsv,,1,0,0,0,OK_UI,manter
/aulas/<int:aula_id>/aulas_alunos/save,POST,aulas_alunos_save,,1,0,0,0,OK_UI,manter
/aulas/<int:aula_id>/sumario/copiar-previsao,POST,sumario_copiar_previsao,,0,1,0,0,OK_API,manter
/aulas/<int:aula_id>/sumario/reverter,POST,sumario_reverter,,0,1,0,0,OK_API,manter
/backup/ano/export,POST,backup_ano_export,,1,0,1,0,OK_UI,manter
/backup/ano/import,POST,backup_ano_import,,1,0,1,0,OK_UI,manter
/backup/export/completo,GET|POST,backup_export_completo,,1,0,1,0,OK_UI,manter
/backups,GET,backups_list,,0,0,2,0,INTERNAL,documentar_interno
