rule,methods,endpoint,blueprint,defaults,arguments
/,GET,dashboard,,{},
/admin,GET,admin_home,,{},
/admin/anos-letivos,GET,admin_anos_letivos,,{},
/admin/calendario-diario,GET,admin_calendario_diario,,{},
/admin/calendario-semanal,GET,admin_calendario_semanal,,{},
/admin/direcao-turma,GET,admin_direcao_turma,,{},
/admin/disciplinas-dt,GET,admin_disciplinas_dt,,{},
/admin/offline,GET,admin_offline,,{},
/admin/offline/snapshot,POST,admin_offline_snapshot,,{},
/admin/tipos-aula,GET,admin_tipos_aula,,{},
/admin/turmas,GET,admin_turmas,,{},
/anos-letivos,GET,anos_letivos_list,,{},
/anos-letivos/<int:ano_id>/abrir,POST,anos_letivos_abrir,,{},ano_id
/anos-letivos/<int:ano_id>/delete,POST,anos_letivos_delete,,{},ano_id
/anos-letivos/<int:ano_id>/edit,GET|POST,anos_letivos_edit,,{},ano_id
/anos-letivos/<int:ano_id>/fechar,POST,anos_letivos_fechar,,{},ano_id
/anos-letivos/<int:ano_id>/set-ativo,POST,anos_letivos_set_ativo,,{},ano_id
/anos-letivos/add,GET|POST,anos_letivos_add,,{},
/api/calendario-escolar.json,GET,calendario_escolar_json,,{},
/api/health/db,GET,api_health_db,,{},
/api/sync/apply,POST,api_sync_apply,,{},
/api/sync/status,GET,api_sync_status,,{},
/aulas/<int:aula_id>/aulas_alunos/import_tsv,POST,aulas_alunos_import_tsv,,{},aula_id
/aulas/<int:aula_id>/aulas_alunos/save,POST,aulas_alunos_save,,{},aula_id
/aulas/<int:aula_id>/sumario/copiar-previsao,POST,sumario_copiar_previsao,,{},aula_id
/aulas/<int:aula_id>/sumario/reverter,POST,sumario_reverter,,{},aula_id
/backup/ano/export,POST,backup_ano_export,,{},
/backup/ano/import,POST,backup_ano_import,,{},
/backup/export/completo,GET|POST,backup_export_completo,,{},
/backups,GET,backups_list,,{},
/backups/<filename>,GET,backups_download,,{},filename
/backups/trigger,POST,backups_trigger,,{},
/calendario-escolar,GET,calendario_escolar,,{},
/calendario-escolar/feriados/<int:fer_id>/delete,POST,feriado_delete,,{},fer_id
/calendario-escolar/feriados/<int:fer_id>/edit,GET|POST,feriado_edit,,{},fer_id
/calendario-escolar/feriados/add,POST,feriado_add,,{},
/calendario-escolar/feriados/add-nacionais,POST,feriados_add_nacionais,,{},
/calendario-escolar/gestao,GET,calendario_escolar_gestao,,{},
/calendario-escolar/importar,GET|POST,calendario_escolar_importar,,{},
/calendario-escolar/interrupcoes/<int:intr_id>/delete,POST,interrupcao_delete,,{},intr_id
/calendario-escolar/interrupcoes/<int:intr_id>/edit,GET|POST,interrupcao_edit,,{},intr_id
/calendario-escolar/interrupcoes/add,POST,interrupcao_add,,{},
/calendario/dia,GET,turma_calendario_dia,,{},
/calendario/outras-datas,GET,calendario_outras_datas,,{},
/calendario/outras-datas/add,POST,calendario_outras_datas_add,,{},
/calendario/outras-datas/mudar-tipo,POST,calendario_outras_datas_mudar_tipo,,{},
/calendario/semana,GET,calendario_semana,,{},
/calendario/semana/previsao,GET,calendario_semana_previsao,,{},
/calendario/sumarios-pendentes,GET,calendario_sumarios_pendentes,,{},
/definicoes/tipos-aula,GET,definicoes_tipos_aula,,{},
/direcao-turma,GET,direcao_turma_list,,{},
/direcao-turma/<int:dt_id>/alunos,GET,direcao_turma_alunos,,{},dt_id
/direcao-turma/<int:dt_id>/alunos/<int:dt_aluno_id>/delete,POST,direcao_turma_alunos_delete,,{},dt_aluno_id|dt_id
/direcao-turma/<int:dt_id>/alunos/<int:dt_aluno_id>/edit,GET|POST,direcao_turma_alunos_edit,,{},dt_aluno_id|dt_id
/direcao-turma/<int:dt_id>/alunos/<int:dt_aluno_id>/nome-curto,POST,direcao_turma_alunos_nome_curto,,{},dt_aluno_id|dt_id
/direcao-turma/<int:dt_id>/alunos/guardar,POST,direcao_turma_alunos_guardar,,{},dt_id
/direcao-turma/<int:dt_id>/alunos/importar,POST,direcao_turma_alunos_importar,,{},dt_id
/direcao-turma/<int:dt_id>/delete,POST,direcao_turma_delete,,{},dt_id
/direcao-turma/<int:dt_id>/edit,GET|POST,direcao_turma_edit,,{},dt_id
/direcao-turma/<int:dt_id>/mapa-mensal,GET,direcao_turma_mapa_mensal,,{},dt_id
/direcao-turma/<int:dt_id>/mapa-mensal/atualizar,POST,direcao_turma_mapa_mensal_atualizar,,{},dt_id
