revision,tables_created,tables_altered,tables_dropped
0001_rebuild_schema,alunos;anos_letivos;aulas_alunos;calendario_aulas;disciplinas;exclusoes;extras;feriados;horarios;interrupcoes_letivas;livros;livros_turmas;modulos;periodos;turmas;turmas_disciplinas,,alunos;anos_letivos;aulas_alunos;calendario_aulas;disciplinas;exclusoes;extras;feriados;horarios;interrupcoes_letivas;livros;livros_turmas;modulos;periodos;turmas;turmas_disciplinas
0b4a1f5add1a,,calendario_aulas;previsao,
1c3e5a3e9f1d,aulas_alunos,,aulas_alunos
1d4f9c0e9c2d,,turmas,
1f2a3b4c5d6e,,,
2c60e0f613b9,,turmas,
4f5e1c4f4e0b,,aulas_alunos;falta_disciplinar,
5f2c5b27a3c4,alunos,,alunos
6f9c5b1af5c5,,calendario_aulas;modulo_id;numero_modulo,
7abf1f2c9f1a,,letiva;turmas,
7c7c6a6e9c1c,,apagado;calendario_aulas,
8c1f2d5a9b0e,dt_alunos;dt_justificacoes;dt_turmas,dt_alunos,dt_alunos;dt_justificacoes;dt_turmas
94a7ef4a7d7c,,calendario_aulas;tempos_sem_aula,
9c2a1d4f8b7e,dt_motivos_dia,,dt_motivos_dia
a4c8b9d8f1aa,,aluno_id;dt_alunos,
aa12bb34cc56,entrega_parametros;entregas;parametro_definicoes;trabalho_grupo_membros;trabalho_grupos;trabalhos,entrega_parametros;entregas;parametro_definicoes;trabalho_grupo_membros;trabalho_grupos;trabalhos,entrega_parametros;entregas;parametro_definicoes;trabalho_grupo_membros;trabalho_grupos;trabalhos
b65e5f2e6a8a,,aulas_alunos,
b7f2c1d0e6fa,dt_alunos_new;dt_alunos_old,dt_alunos,dt_alunos
bb23cc45dd67,grupo_turma_membros;grupos_turma,data_entrega;data_limite;entregas;grupo_turma_membros;grupos_turma;observacoes;trabalhos,grupo_turma_membros;grupos_turma
c3f9a9d8b21c,,periodo_tipo;turmas,
c6f9a7e2b1d3,,calendario_aulas;observacoes_html,
cc34dd56ee78,,data_entrega;data_limite,
d2f1a3b4c5d6,dt_disciplinas;dt_ocorrencia_alunos;dt_ocorrencias,dt_ocorrencia_alunos;dt_ocorrencias,dt_disciplinas;dt_ocorrencia_alunos;dt_ocorrencias
de9f4a2b7c1e,offline_errors;offline_state,offline_errors,offline_errors;offline_state
e5d9d0d2d9f8,,alunos;aulas_alunos;calendario_aulas,
e8a1c2d3f4b5,,dt_disciplinas;nome_curto;professor_nome,
f2a1b7c9d001,,,
f9b2c7d4e1a0,,aulas_alunos;observacoes,
