table/model,classification,rationale_short
alunos/Aluno,CORE,"uso runtime (py=310, tpl=43, js=0)"
anos_letivos/AnoLetivo,CORE,"uso runtime (py=220, tpl=10, js=0)"
aulas_alunos/AulaAluno,CORE,"uso runtime (py=99, tpl=0, js=0)"
calendario_aulas/CalendarioAula,CORE,"uso runtime (py=493, tpl=0, js=0)"
disciplinas/Disciplina,CORE,"uso runtime (py=86, tpl=20, js=0)"
dt_alunos/DTAluno,CORE,"uso runtime (py=146, tpl=0, js=0)"
dt_disciplinas/DTDisciplina,CORE,"uso runtime (py=81, tpl=0, js=0)"
dt_justificacoes/DTJustificacao,CORE,"uso runtime (py=38, tpl=0, js=0)"
dt_motivos_dia/DTMotivoDia,CORE,"uso runtime (py=35, tpl=0, js=0)"
dt_ocorrencia_alunos/DTOcorrenciaAluno,CORE,"uso runtime (py=37, tpl=0, js=0)"
dt_ocorrencias/DTOcorrencia,CORE,"uso runtime (py=102, tpl=0, js=0)"
dt_turmas/DTTurma,CORE,"uso runtime (py=176, tpl=3, js=0)"
entrega_parametros/EntregaParametro,CORE,"uso runtime (py=26, tpl=0, js=0)"
entregas/Entrega,CORE,"uso runtime (py=62, tpl=0, js=0)"
exclusoes/Exclusao,CORE,"uso runtime (py=25, tpl=1, js=0)"
extras/Extra,CORE,"uso runtime (py=33, tpl=2, js=0)"
feriados/Feriado,CORE,"uso runtime (py=110, tpl=13, js=0)"
grupo_turma_membros/GrupoTurmaMembro,CORE,"uso runtime (py=28, tpl=0, js=0)"
grupos_turma/GrupoTurma,CORE,"uso runtime (py=46, tpl=0, js=0)"
horarios/Horario,CORE,"uso runtime (py=38, tpl=0, js=0)"
interrupcoes_letivas/InterrupcaoLetiva,CORE,"uso runtime (py=76, tpl=0, js=0)"
livros/Livro,CORE,"uso runtime (py=105, tpl=4, js=0)"
livros_turmas/LivroTurma,CORE,"uso runtime (py=40, tpl=0, js=0)"
modulos/Modulo,CORE,"uso runtime (py=139, tpl=9, js=0)"
offline_errors/OfflineError,CORE,"uso runtime (py=19, tpl=0, js=0)"
offline_state/OfflineState,CORE,"uso runtime (py=9, tpl=0, js=0)"
parametro_definicoes/ParametroDefinicao,CORE,"uso runtime (py=33, tpl=0, js=0)"
periodos/Periodo,CORE,"uso runtime (py=161, tpl=1, js=0)"
sumario_historico/AulaSumarioHistorico,CORE,"uso runtime (py=32, tpl=0, js=0)"
trabalho_grupo_membros/TrabalhoGrupoMembro,CORE,"uso runtime (py=39, tpl=0, js=0)"
trabalho_grupos/TrabalhoGrupo,CORE,"uso runtime (py=59, tpl=0, js=0)"
trabalhos/Trabalho,CORE,"uso runtime (py=184, tpl=16, js=0)"
turmas/Turma,CORE,"uso runtime (py=537, tpl=97, js=0)"
turmas_disciplinas/TurmaDisciplina,CORE,"uso runtime (py=42, tpl=0, js=0)"
