table/model,python_refs,template_refs,js_refs,test_refs,migration_refs,top_files_python,top_files_templates,top_files_js
alunos/Aluno,310,43,0,13,19,app.py:214; models.py:26; calendario_service.py:22; offline_blueprint.py:15; tests/test_grupos_sem_vazio.py:13,templates/turmas/calendario_aula_alunos.html:4; templates/turmas/mapa_avaliacao_diaria.html:4; templates/direcao_turma/mapa_mensal.html:4; templates/direcao_turma/alunos.html:4; templates/direcao_turma/ocorrencias_list.html:4,
anos_letivos/AnoLetivo,220,10,0,6,11,app.py:150; models.py:23; calendario_service.py:20; migrations/versions/0001_rebuild_schema.py:10; seed.py:4,templates/turmas/list.html:8; templates/turmas/form.html:1; templates/direcao_turma/form.html:1,
aulas_alunos/AulaAluno,99,0,0,0,23,app.py:61; migrations/versions/4f5e1c4f4e0b_add_falta_disciplinar_to_aulas_alunos.py:6; models.py:5; migrations/versions/1c3e5a3e9f1d_add_aulas_alunos_table.py:5; sync.py:4,,
calendario_aulas/CalendarioAula,493,0,0,4,39,app.py:284; calendario_service.py:131; models.py:12; reset_calendario.py:8; inspect_db.py:8,,
disciplinas/Disciplina,86,20,0,0,5,app.py:48; calendario_service.py:17; models.py:10; seed.py:6; migrations/versions/0001_rebuild_schema.py:4,templates/turmas/disciplinas.html:4; templates/disciplinas/gestao.html:4; templates/disciplinas/form.html:3; templates/direcao_turma/ocorrencias_list.html:3; templates/admin/disciplinas_dt.html:2,
dt_alunos/DTAluno,146,0,0,0,35,app.py:100; migrations/versions/b7f2c1d0e6fa_trim_dt_alunos_columns.py:18; models.py:11; migrations/versions/a4c8b9d8f1aa_add_aluno_id_to_dt_alunos.py:9; migrations/versions/8c1f2d5a9b0e_add_direcao_turma_tables.py:7,,
dt_disciplinas/DTDisciplina,81,0,0,0,10,app.py:64; models.py:7; migrations/versions/e8a1c2d3f4b5_add_nome_curto_professor_to_dt_disciplinas.py:7; migrations/versions/d2f1a3b4c5d6_add_dt_ocorrencias_and_disciplinas.py:3,,
dt_justificacoes/DTJustificacao,38,0,0,0,8,app.py:26; models.py:4; migrations/versions/b7f2c1d0e6fa_trim_dt_alunos_columns.py:4; migrations/versions/8c1f2d5a9b0e_add_direcao_turma_tables.py:4,,
dt_motivos_dia/DTMotivoDia,35,0,0,0,4,app.py:28; migrations/versions/9c2a1d4f8b7e_add_dt_motivos_dia.py:4; models.py:3,,
dt_ocorrencia_alunos/DTOcorrenciaAluno,37,0,0,0,6,app.py:27; migrations/versions/d2f1a3b4c5d6_add_dt_ocorrencias_and_disciplinas.py:6; models.py:4,,
dt_ocorrencias/DTOcorrencia,102,0,0,0,9,app.py:87; migrations/versions/d2f1a3b4c5d6_add_dt_ocorrencias_and_disciplinas.py:9; models.py:6,,
dt_turmas/DTTurma,176,3,0,0,9,app.py:150; models.py:17; migrations/versions/8c1f2d5a9b0e_add_direcao_turma_tables.py:5; migrations/versions/b7f2c1d0e6fa_trim_dt_alunos_columns.py:2; migrations/versions/9c2a1d4f8b7e_add_dt_motivos_dia.py:1,templates/direcao_turma/list.html:3,
entrega_parametros/EntregaParametro,26,0,0,0,6,app.py:17; migrations/versions/aa12bb34cc56_add_trabalhos_module.py:6; models.py:3,,
