table_name,columns_count,has_fk,has_unique,has_indexes
anos_letivos,9,0,1,0
dt_disciplinas,5,0,1,0
livros,2,0,1,0
offline_errors,6,0,0,1
offline_state,2,0,0,0
disciplinas,4,1,0,0
feriados,5,1,0,0
interrupcoes_letivas,7,1,0,0
turmas,16,1,0,0
alunos,8,1,0,1
dt_turmas,4,1,1,0
exclusoes,6,1,0,0
extras,8,1,0,0
grupos_turma,3,1,1,1
horarios,4,1,0,0
livros_turmas,2,1,0,0
modulos,5,1,0,0
trabalhos,7,1,0,1
turmas_disciplinas,4,1,1,0
dt_alunos,3,1,0,1
dt_motivos_dia,4,1,1,0
dt_ocorrencias,10,1,0,1
grupo_turma_membros,3,1,1,1
parametro_definicoes,5,1,1,1
periodos,7,1,0,0
trabalho_grupos,3,1,1,1
calendario_aulas,18,1,0,1
dt_justificacoes,5,1,0,0
dt_ocorrencia_alunos,3,1,1,1
entregas,9,1,1,1
trabalho_grupo_membros,3,1,1,1
aulas_alunos,13,1,1,1
entrega_parametros,5,1,1,1
sumario_historico,7,1,0,1
